"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130101 ~ 20131231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 개포동","1168-10","1168","0010","신안아트빌","37.84","24.76","201306","6","27,000","3","2013","논현로2길 13",""
"서울특별시 강남구 개포동","1168-10","1168","0010","신안아트빌","48.65","29.76","201309","25","31,500","5","2013","논현로2길 13",""
"서울특별시 강남구 개포동","1168-11","1168","0011","아이도스빌라","62.28","28.25","201306","18","26,500","2","1993","논현로2길 11",""
"서울특별시 강남구 개포동","1253-6","1253","0006","아주빌라다동","45.32","43.99","201309","23","29,000","1","1988","개포로21길 26",""
"서울특별시 강남구 개포동","1179-3","1179","0003","아트빌라","43.16","17.92","201303","12","18,300","1","1993","논현로8길 58-8",""
"서울특별시 강남구 개포동","1265-8","1265","0008","양재빌","44.48","30.01","201301","8","16,400","3","1988","개포로25길 26",""
"서울특별시 강남구 개포동","1190-9","1190","0009","영동B","48.5","38.4","201303","27","28,500","2","1988","논현로8길 4-5",""
"서울특별시 강남구 개포동","1181-2","1181","0002","용성빌","40.2","18.45","201304","12","19,500","1","1992","논현로8길 66-6",""
"서울특별시 강남구 개포동","1180-9","1180","0009","운영빌라","22.15","10.6","201312","3","13,300","4","1995","논현로8길 60",""
"서울특별시 강남구 개포동","166-3","0166","0003","장원빌라","45.5","21.93","201303","8","33,500","3","2003","선릉로10길 10-8",""
"서울특별시 강남구 개포동","1232-9","1232","0009","정화 하이츠 빌라","61.27","35.46","201301","23","35,000","1","1991","논현로18길 22-13",""
"서울특별시 강남구 개포동","1232-9","1232","0009","정화 하이츠 빌라","55.87","32.33","201307","31","33,500","4","1991","논현로18길 22-13",""
"서울특별시 강남구 개포동","1199","1199","0000","조양빌라","84.81","79.59","201307","19","43,500","3","1990","개포로20길 56",""
"서울특별시 강남구 개포동","1226-7","1226","0007","조이하우스빌2차","72.72","35.31","201302","20","36,500","4","2003","논현로16길 10-9",""
"서울특별시 강남구 개포동","1226-7","1226","0007","조이하우스빌2차","70.02","33.99","201302","28","34,000","2","2003","논현로16길 10-9",""
"서울특별시 강남구 개포동","1182-2","1182","0002","청광아트빌라","33.11","15.21","201312","19","12,000","2","1996","논현로8길 66-5",""
"서울특별시 강남구 개포동","1213-6","1213","0006","청솔아트빌 B동","35.35","21.79","201305","23","19,000","3","1995","개포로30길 9",""
"서울특별시 강남구 개포동","1200-4","1200","0004","탑펠리스","68.62","30.25","201312","26","36,000","2","2003","개포로22길 54",""
"서울특별시 강남구 개포동","160-4","0160","0004","파크힐빌리지(160-4)","32.73","14.65","201304","13","20,000","1","1995","선릉로8길 28",""
"서울특별시 강남구 개포동","160-4","0160","0004","파크힐빌리지(160-4)","32.73","14.65","201312","10","20,300","3","1995","선릉로8길 28",""
"서울특별시 강남구 개포동","160-2","0160","0002","평화빌라B동(160-2)","72.64","36.5","201301","8","36,000","3","1993","선릉로8길 24",""
"서울특별시 강남구 개포동","1196-12","1196","0012","프라임그린빌","69.63","33.57","201312","20","40,000","3","2002","논현로12길 9-12",""
"서울특별시 강남구 개포동","1188-10","1188","0010","하이랜드빌라","56.18","32.27","201310","1","28,000","3","2002","논현로8길 32-18",""
"서울특별시 강남구 개포동","1176-2","1176","0002","한빛빌라(1176-2)","69.31","31.22","201308","22","33,000","2","1999","논현로4길 39",""
"서울특별시 강남구 개포동","1188-7","1188","0007","한신빌라A동","50.42","24.1","201306","7","23,000","3","1991","논현로8길 32-12",""
"서울특별시 강남구 개포동","161-1","0161","0001","한진빌라(161-1)","78.02","32.96","201306","29","42,000","4","1991","선릉로10길 26-3",""
"서울특별시 강남구 개포동","1261-1","1261","0001","현대그린빌라","84.99","49.58","201306","27","45,000","3","1992","개포로31길 15-9",""
"서울특별시 강남구 개포동","1185","1185","0000","현대빌라","84.7","81.23","201307","1","59,000","1","1990","논현로6길 23",""
"서울특별시 강남구 개포동","1185-6","1185","0006","현대빌라(15세대)","82.23","74.96","201305","7","58,000","3","1990","논현로6길 23",""
"서울특별시 강남구 개포동","172-6","0172","0006","현대빌라(172-6)","68.37","30.06","201311","13","33,000","1","1993","선릉로18길 20",""
"서울특별시 강남구 개포동","1202-5","1202","0005","현대빌리지","53.38","25.78","201307","6","29,500","3","2003","개포로22길 41-12",""
"서울특별시 강남구 개포동","1195-10","1195","0010","현대하이츠빌라","49.5","44.02","201303","29","50,000","1","1989","논현로12길 3-8",""
"서울특별시 강남구 개포동","1263-4","1263","0004","효신빌라","72.59","42.23","201310","2","31,000","2","1990","개포로31길 19-3",""
"서울특별시 강남구 논현동","139-26","0139","0026","(139-26)","52.08","35.56","201306","24","30,000","2","1986","학동로8길 28",""
"서울특별시 강남구 논현동","150-14","0150","0014","(150-14)","45.03","28","201312","30","25,100","2","2008","논현로123길 35-2",""
"서울특별시 강남구 논현동","167-10","0167","0010","(167-10)","40.5","27.76","201303","15","10,000","-1","1986","봉은사로1길 42-18",""
"서울특별시 강남구 논현동","167-10","0167","0010","(167-10)","40.5","27.76","201310","23","15,000","-1","1986","봉은사로1길 42-18",""
"서울특별시 강남구 논현동","188-6","0188","0006","(188-6)","14.52","9.52","201310","13","15,500","5","2013","강남대로120길 74",""
"서울특별시 강남구 논현동","188-6","0188","0006","(188-6)","16.92","9.54","201310","16","15,800","5","2013","강남대로120길 74",""
"서울특별시 강남구 논현동","188-6","0188","0006","(188-6)","19.57","9.52","201311","23","17,000","5","2013","강남대로120길 74",""
"서울특별시 강남구 논현동","188-6","0188","0006","(188-6)","21.09","9.52","201311","27","17,000","5","2013","강남대로120길 74",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","16.47","10.18","201301","4","17,000","2","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","16.47","10.18","201302","1","16,350","2","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","20.75","12.82","201304","22","21,500","5","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","16.47","10.18","201304","29","17,000","4","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","20.75","12.82","201305","23","21,500","5","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","22.56","13.94","201305","23","21,500","5","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","14.5","8.96","201312","2","17,000","3","2011","논현로113길 21",""
